"","country","iso_code","human_development_index","year"
"1","Afghanistan","AFG","0.496","2023"
"2","Albania","ALB","0.810","2023"
"3","Algeria","DZA","0.763","2023"
"4","Andorra","AND","0.913","2023"
"5","Angola","AGO","0.616","2023"
"6","Antigua and Barbuda","ATG","0.851","2023"
"7","Argentina","ARG","0.865","2023"
"8","Armenia","ARM","0.811","2023"
"9","Australia","AUS","0.958","2023"
"10","Austria","AUT","0.930","2023"
"11","Azerbaijan","AZE","0.789","2023"
"12","Bahamas","BHS","0.820","2023"
"13","Bahrain","BHR","0.899","2023"
"14","Bangladesh","BGD","0.685","2023"
"15","Barbados","BRB","0.811","2023"
"16","Belarus","BLR","0.824","2023"
"17","Belgium","BEL","0.951","2023"
"18","Belize","BLZ","0.721","2023"
"19","Benin","BEN","0.515","2023"
"20","Bhutan","BTN","0.698","2023"
"21","Bolivia","BOL","0.733","2023"
"22","Bosnia and Herzegovina","BIH","0.804","2023"
"23","Botswana","BWA","0.731","2023"
"24","Brazil","BRA","0.786","2023"
"25","Brunei","BRN","0.837","2023"
"26","Bulgaria","BGR","0.845","2023"
"27","Burkina Faso","BFA","0.459","2023"
"28","Burundi","BDI","0.439","2023"
"29","Cambodia","KHM","0.606","2023"
"30","Cameroon","CMR","0.588","2023"
"31","Canada","CAN","0.939","2023"
"32","Cape Verde","CPV","0.668","2023"
"33","Central African Republic","CAF","0.414","2023"
"34","Chad","TCD","0.416","2023"
"35","Chile","CHL","0.878","2023"
"36","China","CHN","0.797","2023"
"37","Colombia","COL","0.788","2023"
"38","Comoros","COM","0.603","2023"
"39","Congo","COG","0.649","2023"
"40","Costa Rica","CRI","0.833","2023"
"41","Cote d'Ivoire","CIV","0.582","2023"
"42","Croatia","HRV","0.889","2023"
"43","Cuba","CUB","0.762","2023"
"44","Cyprus","CYP","0.913","2023"
"45","Czechia","CZE","0.915","2023"
"46","Democratic Republic of Congo","COD","0.522","2023"
"47","Denmark","DNK","0.962","2023"
"48","Djibouti","DJI","0.513","2023"
"49","Dominica","DMA","0.761","2023"
"50","Dominican Republic","DOM","0.776","2023"
"51","East Timor","TLS","0.634","2023"
"52","Ecuador","ECU","0.777","2023"
"53","Egypt","EGY","0.754","2023"
"54","El Salvador","SLV","0.678","2023"
"55","Equatorial Guinea","GNQ","0.674","2023"
"56","Eritrea","ERI","0.503","2023"
"57","Estonia","EST","0.905","2023"
"58","Eswatini","SWZ","0.695","2023"
"59","Ethiopia","ETH","0.497","2023"
"60","Fiji","FJI","0.731","2023"
"61","Finland","FIN","0.948","2023"
"62","France","FRA","0.920","2023"
"63","Gabon","GAB","0.733","2023"
"64","Gambia","GMB","0.524","2023"
"65","Georgia","GEO","0.844","2023"
"66","Germany","DEU","0.959","2023"
"67","Ghana","GHA","0.628","2023"
"68","Greece","GRC","0.908","2023"
