"","country","iso_code","income_group","income_group_label","year"
"1","Afghanistan","AFG","low","Low income","2024"
"2","Albania","ALB","upper_middle","Upper-middle income","2024"
"3","Algeria","DZA","upper_middle","Upper-middle income","2024"
"4","American Samoa","ASM","high","High income","2024"
"5","Andorra","AND","high","High income","2024"
"6","Angola","AGO","lower_middle","Lower-middle income","2024"
"7","Antigua and Barbuda","ATG","high","High income","2024"
"8","Argentina","ARG","upper_middle","Upper-middle income","2024"
"9","Armenia","ARM","upper_middle","Upper-middle income","2024"
"10","Aruba","ABW","high","High income","2024"
"11","Australia","AUS","high","High income","2024"
"12","Austria","AUT","high","High income","2024"
"13","Azerbaijan","AZE","upper_middle","Upper-middle income","2024"
"14","Bahamas","BHS","high","High income","2024"
"15","Bahrain","BHR","high","High income","2024"
"16","Bangladesh","BGD","lower_middle","Lower-middle income","2024"
"17","Barbados","BRB","high","High income","2024"
"18","Belarus","BLR","upper_middle","Upper-middle income","2024"
"19","Belgium","BEL","high","High income","2024"
"20","Belize","BLZ","upper_middle","Upper-middle income","2024"
"21","Benin","BEN","lower_middle","Lower-middle income","2024"
"22","Bermuda","BMU","high","High income","2024"
"23","Bhutan","BTN","lower_middle","Lower-middle income","2024"
"24","Bolivia","BOL","lower_middle","Lower-middle income","2024"
"25","Bosnia and Herzegovina","BIH","upper_middle","Upper-middle income","2024"
"26","Botswana","BWA","upper_middle","Upper-middle income","2024"
"27","Brazil","BRA","upper_middle","Upper-middle income","2024"
"28","British Virgin Islands","VGB","high","High income","2024"
"29","Brunei","BRN","high","High income","2024"
"30","Bulgaria","BGR","high","High income","2024"
"31","Burkina Faso","BFA","low","Low income","2024"
"32","Burundi","BDI","low","Low income","2024"
"33","Cambodia","KHM","lower_middle","Lower-middle income","2024"
"34","Cameroon","CMR","lower_middle","Lower-middle income","2024"
"35","Canada","CAN","high","High income","2024"
"36","Cape Verde","CPV","upper_middle","Upper-middle income","2024"
"37","Cayman Islands","CYM","high","High income","2024"
"38","Central African Republic","CAF","low","Low income","2024"
"39","Chad","TCD","low","Low income","2024"
"40","Chile","CHL","high","High income","2024"
"41","China","CHN","upper_middle","Upper-middle income","2024"
"42","Colombia","COL","upper_middle","Upper-middle income","2024"
"43","Comoros","COM","lower_middle","Lower-middle income","2024"
"44","Congo","COG","lower_middle","Lower-middle income","2024"
"45","Costa Rica","CRI","high","High income","2024"
"46","Cote d'Ivoire","CIV","lower_middle","Lower-middle income","2024"
"47","Croatia","HRV","high","High income","2024"
"48","Cuba","CUB","upper_middle","Upper-middle income","2024"
"49","Curacao","CUW","high","High income","2024"
"50","Cyprus","CYP","high","High income","2024"
"51","Czechia","CZE","high","High income","2024"
"52","Democratic Republic of Congo","COD","low","Low income","2024"
"53","Denmark","DNK","high","High income","2024"
"54","Djibouti","DJI","lower_middle","Lower-middle income","2024"
"55","Dominica","DMA","upper_middle","Upper-middle income","2024"
"56","Dominican Republic","DOM","upper_middle","Upper-middle income","2024"
"57","East Timor","TLS","lower_middle","Lower-middle income","2024"
"58","Ecuador","ECU","upper_middle","Upper-middle income","2024"
"59","Egypt","EGY","lower_middle","Lower-middle income","2024"
"60","El Salvador","SLV","upper_middle","Upper-middle income","2024"
"61","Equatorial Guinea","GNQ","upper_middle","Upper-middle income","2024"
"62","Eritrea","ERI","low","Low income","2024"
"63","Estonia","EST","high","High income","2024"
"64","Eswatini","SWZ","lower_middle","Lower-middle income","2024"
"65","Ethiopia","ETH","low","Low income","2023"
"66","Faroe Islands","FRO","high","High income","2024"
"67","Fiji","FJI","upper_middle","Upper-middle income","2024"
"68","Finland","FIN","high","High income","2024"
"69","France","FRA","high","High income","2024"
"70","French Guiana","GUF","high","High income","2024"
"71","French Polynesia","PYF","high","High income","2024"
"72","French Southern Territories","ATF","high","High income","2024"
"73","Gabon","GAB","upper_middle","Upper-middle income","2024"
"74","Gambia","GMB","low","Low income","2024"
"75","Georgia","GEO","upper_middle","Upper-middle income","2024"
"76","Germany","DEU","high","High income","2024"
"77","Ghana","GHA","lower_middle","Lower-middle income","2024"
"78","Gibraltar","GIB","high","High income","2024"
"79","Greece","GRC","high","High income","2024"
"80","Greenland","GRL","high","High income","2024"
"81","Grenada","GRD","upper_middle","Upper-middle income","2024"
"82","Guam","GUM","high","High income","2024"
"83","Guatemala","GTM","upper_middle","Upper-middle income","2024"
