"dimension","focal_group","item","MH_statistic","p_value","p_adj","Psi_hat","Alpha_hat","SE_log_Psi","rho_spear","significant","noninvariant"
"R","Asia","R1",1775.379,0,0,1.9287,0.6569,0.0178,0.649,TRUE,"yes"
"R","Asia","R2",850.072,0,0,0.6442,-0.4397,0.0069,0.745,TRUE,"yes"
"R","Asia","R3",321.995,0,0,1.3867,0.3269,0.0154,0.647,TRUE,"yes"
"R","Asia","R4",197.271,0,0,0.816,-0.2033,0.0082,0.76,TRUE,"no"
"R","Asia","R5",307.259,0,0,1.3976,0.3348,0.016,0.737,TRUE,"yes"
"R","Asia","R6",1823.214,0,0,0.5014,-0.6903,0.0057,0.786,TRUE,"yes"
"R","Asia","R7",588.341,0,0,1.5274,0.4236,0.0162,0.77,TRUE,"yes"
"R","Asia","R8",995.855,0,0,0.6013,-0.5087,0.0071,0.77,TRUE,"yes"
"R","Sub Saharan Africa","R1",15.527,1e-04,2e-04,1.2666,0.2363,0.0302,0.649,TRUE,"yes"
"R","Sub Saharan Africa","R2",245.82,0,0,0.4119,-0.887,0.0165,0.753,TRUE,"yes"
"R","Sub Saharan Africa","R3",53.761,0,0,1.5899,0.4636,0.0477,0.629,TRUE,"yes"
"R","Sub Saharan Africa","R4",12.589,4e-04,8e-04,1.2573,0.229,0.0337,0.762,TRUE,"yes"
"R","Sub Saharan Africa","R5",9.838,0.0017,0.0017,1.2693,0.2384,0.0429,0.719,TRUE,"yes"
"R","Sub Saharan Africa","R6",49.162,0,0,0.6787,-0.3875,0.0222,0.793,TRUE,"yes"
"R","Sub Saharan Africa","R7",151.381,0,0,2.0407,0.7133,0.0627,0.759,TRUE,"yes"
"R","Sub Saharan Africa","R8",103.16,0,0,0.5464,-0.6044,0.021,0.777,TRUE,"yes"
"R","Catholic West","R1",59.71,0,0,1.3169,0.2753,0.0203,0.482,TRUE,"yes"
"R","Catholic West","R2",26.267,0,0,0.8332,-0.1825,0.0168,0.619,TRUE,"no"
"R","Catholic West","R3",34.429,0,0,1.2917,0.256,0.0287,0.538,TRUE,"yes"
