country;dimension;group;item;lat_mean;lat_var;a;b1;b2;b3;b4
AUS;R;1;R1;0;1;1,046529144;-1,498782653;-0,595461082;0,980347726;2,445165368
AUS;R;1;R2;0;1;2,239404844;-0,692912057;0,020535129;0,864376879;1,924168622
AUS;R;1;R3;0;1;1,381497345;-0,496936613;0,334444263;1,182218152;2,476821977
AUS;R;1;R4;0;1;1,439059348;-1,445812814;-0,441809622;0,465570553;1,666837217
AUS;R;1;R5;0;1;2,307773567;-0,357746567;0,432274915;1,218479004;2,101087616
AUS;R;1;R6;0;1;2,19090565;-0,871906443;-0,106446589;0,675341361;1,696829578
AUS;R;1;R7;0;1;2,014143567;-0,727286303;0,135699889;1,022460165;2,065227548
AUS;R;1;R8;0;1;2,700791844;-0,584125633;0,215074877;0,932676568;1,911127159
AUS;R;2;R1;-0,821185078;1,179878555;1,046529144;-1,498782653;-0,595461082;0,980347726;2,445165368
AUS;R;2;R2;-0,821185078;1,179878555;1,826121717;-0,90243387;-0,155764813;0,678710094;1,99499754
AUS;R;2;R3;-0,821185078;1,179878555;1,434027123;-0,068551673;0,729933936;1,681836925;2,875793798
AUS;R;2;R4;-0,821185078;1,179878555;1,854627149;-0,860674067;0,067995351;0,875445585;1,786177016
AUS;R;2;R5;-0,821185078;1,179878555;2,175588349;-0,223697349;0,638953731;1,486024467;2,298923434
AUS;R;2;R6;-0,821185078;1,179878555;2,19090565;-0,871906443;-0,106446589;0,675341361;1,696829578
AUS;R;2;R7;-0,821185078;1,179878555;2,014143567;-0,727286303;0,135699889;1,022460165;2,065227548
AUS;R;2;R8;-0,821185078;1,179878555;2,700791844;-0,584125633;0,215074877;0,932676568;1,911127159
AUS;I;1;I1;0;1;1,73505988;-1,63088244;-0,768981118;0,064458644;1,177392971
AUS;I;1;I2;0;1;2,409907356;-1,357173647;-0,649050521;0,018962057;1,115050151
AUS;I;1;I3;0;1;3,541367675;-0,986288559;-0,411841393;0,154634926;1,071319416
AUS;I;1;I4;0;1;1,76763645;-1,127139215;-0,394071102;0,353209545;1,429977666
AUS;I;1;I5;0;1;3,898992616;-0,775448811;-0,219222399;0,352898438;1,19389889
AUS;I;1;I6;0;1;2,38242413;-1,058671586;-0,440779942;0,238347082;1,160918203
AUS;I;1;I7;0;1;3,155315742;-0,724347821;-0,111042089;0,567365739;1,43670071
AUS;I;1;I8;0;1;1,531761216;-1,09570438;-0,238792666;0,496026128;1,644477246
AUS;I;2;I1;-0,040656266;1,011622719;1,455237305;-1,912123563;-1,133567489;-0,238705385;0,947406593
AUS;I;2;I2;-0,040656266;1,011622719;1,664416476;-1,69915507;-1,026076256;-0,233315819;0,872649985
AUS;I;2;I3;-0,040656266;1,011622719;2,437523531;-1,187135249;-0,574301223;0,057921875;0,989818768
AUS;I;2;I4;-0,040656266;1,011622719;1,76763645;-1,127139215;-0,394071102;0,353209545;1,429977666
AUS;I;2;I5;-0,040656266;1,011622719;3,898992616;-0,775448811;-0,219222399;0,352898438;1,19389889
AUS;I;2;I6;-0,040656266;1,011622719;2,38242413;-1,058671586;-0,440779942;0,238347082;1,160918203
AUS;I;2;I7;-0,040656266;1,011622719;3,155315742;-0,724347821;-0,111042089;0,567365739;1,43670071
AUS;I;2;I8;-0,040656266;1,011622719;1,44029744;-0,64282752;0,125451839;0,875055145;2,116212928
AUS;A;1;A1;0;1;2,031688448;-0,358349459;0,345166657;1,008095777;1,802763122
AUS;A;1;A2;0;1;2,268330657;-0,610917528;0,095706335;0,684447444;1,468422346
AUS;A;1;A3;0;1;1,485743571;-1,046081899;-0,084987713;0,697801476;1,74161339
AUS;A;1;A4;0;1;2,657880711;-0,739038348;-0,198275042;0,378263645;1,061246476
AUS;A;1;A5;0;1;2,389739542;-0,710947237;-0,124600724;0,361303633;1,159412057
AUS;A;1;A6;0;1;2,054575195;-1,137558075;-0,570282495;0,071449724;0,947071478
AUS;A;1;A7;0;1;0,575753159;-2,624252495;-1,1370903;0,399784705;2,540683948
AUS;A;1;A8;0;1;1,911389506;-0,854504084;0,039746944;0,788500337;1,780730579
AUS;A;2;A1;0,118107582;0,89850961;2,031688448;-0,358349459;0,345166657;1,008095777;1,802763122
AUS;A;2;A2;0,118107582;0,89850961;2,492708423;-0,598669802;0,001072867;0,557127173;1,361185221
AUS;A;2;A3;0,118107582;0,89850961;1,39478057;-1,290435891;-0,499453822;0,300516617;1,477682209
AUS;A;2;A4;0,118107582;0,89850961;2,750998088;-0,603961909;-0,007385718;0,574649739;1,331821577
AUS;A;2;A5;0,118107582;0,89850961;2,267204999;-0,786288592;-0,233411107;0,323344633;1,054802732
AUS;A;2;A6;0,118107582;0,89850961;1,976823538;-0,963345609;-0,420793307;0,265349544;1,138648757
AUS;A;2;A7;0,118107582;0,89850961;1,038373727;-0,627051104;0,28559101;1,128398568;2,361619969
AUS;A;2;A8;0,118107582;0,89850961;2,198976654;-0,677202267;-0,110851554;0,433873847;1,350802532
AUS;S;1;S1;0;1;1,337083519;-1,642959253;-0,628947315;0,326386387;1,509833689
AUS;S;1;S2;0;1;1,375655178;-1,564085191;-0,774853297;0,282568535;1,705478246
AUS;S;1;S3;0;1;2,333860296;-0,930339594;-0,209872339;0,533298891;1,500276978
AUS;S;1;S4;0;1;1,088392597;-1,767306087;-0,696902301;0,328878743;1,683305198
AUS;S;1;S5;0;1;3,03617126;-1,001641438;-0,301903164;0,330214774;1,216172001
AUS;S;1;S6;0;1;1,558749653;-0,890204772;-0,142494368;0,686426743;1,850065384
AUS;S;1;S7;0;1;1,892460634;-1,070124988;-0,33837689;0,479231672;1,590110421
AUS;S;1;S8;0;1;1,845122362;-0,656247389;0,15624246;0,984047527;2,043333179
AUS;S;2;S1;0,466321202;0,823184193;1,337083519;-1,642959253;-0,628947315;0,326386387;1,509833689
AUS;S;2;S2;0,466321202;0,823184193;1,305911936;-1,962210647;-1,122696313;0,000256435;1,330091859
AUS;S;2;S3;0,466321202;0,823184193;2,274383466;-0,882432949;-0,208447026;0,471015278;1,398075705
AUS;S;2;S4;0,466321202;0,823184193;0,908320883;-1,432978294;-0,241122175;0,882914996;2,575473346
AUS;S;2;S5;0,466321202;0,823184193;3,013376842;-1,033926515;-0,406336477;0,177117625;1,094124275
AUS;S;2;S6;0,466321202;0,823184193;1,558749653;-0,890204772;-0,142494368;0,686426743;1,850065384
AUS;S;2;S7;0,466321202;0,823184193;1,860378305;-1,098825065;-0,439389533;0,281836215;1,3540538
AUS;S;2;S8;0,466321202;0,823184193;1,845122362;-0,656247389;0,15624246;0,984047527;2,043333179
AUS;E;1;E1;0;1;1,939450779;-0,539838701;0,289915642;1,193173243;2,103864625
AUS;E;1;E2;0;1;1,615406617;-0,834021352;0,105808769;1,169180657;2,420404037
AUS;E;1;E3;0;1;1,775510379;-1,163256186;-0,286742437;0,555791466;1,688791348
AUS;E;1;E4;0;1;1,47669074;-0,216711272;0,916411268;1,942537893;3,023804684
